ACCIDENT_NUMBER,EVENT_DATE,YEAR,CITY,STATE,LATITUDE,LONGITUDE,INJURY_SEVERITY,AIRCRAFT_DAMAGE,AIRCRAFT_CATEGORY,MAKE,MODEL,TOTAL_FATALITIES,TOTAL_INJURIES,TOTAL_UNINJURED
ERA19LA260,8/24/2019,2019,ROBERTSDALE, AL,30.544722,-87.559444,NON-FATAL,SUBSTANTIAL,GLIDER,DG FLUGZEUGBAU,DG-500MB,0,2,0
WPR19FA235,8/23/2019,2019,BIG SPRING, TX,32.143055,-101.586944,FATAL(1),SUBSTANTIAL,AIRPLANE,MEYERS,MIDGET 0100,1,0,0
GAA19CA557,8/23/2019,2019,FORT MYERS, FL,26.643333,-81.710278,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,35,0,0,2
ERA19LA258,8/23/2019,2019,HOBE SOUND, FL,27.032778,-80.111389,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,F33,0,0,3
CEN19TA328,8/23/2019,2019,LAWTON, OK,34.604167,-98.395555,NON-FATAL,,BALLOON,LINDSTRAND,105A,0,1,4
ERA19FA256,8/23/2019,2019,MINNEOLA, FL,28.630556,-81.804444,FATAL(1),SUBSTANTIAL,ULTRALIGHT,MORIARTY MARVIN,AVENTURA II,1,0,0
GAA19CA507,8/22/2019,2019,ANCHORAGE, AK,61.493333,-151.906389,NON-FATAL,SUBSTANTIAL,AIRPLANE,MAULE,M5,0,0,2
ERA19LA257,8/22/2019,2019,BURNSVILLE, NC,35.745277,-82.288333,NON-FATAL,SUBSTANTIAL,AIRPLANE,CIRRUS,SR22,0,0,2
GAA19CA508,8/22/2019,2019,HEMET, CA,33.734166,-117.020834,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,0,0,1
GAA19CA505,8/22/2019,2019,OXFORD, FL,28.940277,-82.052222,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPISTREL,SINUS 912,0,0,1
GAA19CA513,8/22/2019,2019,RANGELEY LAKE, ME,44.953333,-70.663056,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,A185,0,2,0
GAA19CA506,8/22/2019,2019,SAN ANTONIO, TX,29.723334,-98.694444,NON-FATAL,SUBSTANTIAL,GLIDER,GROB,G103,0,0,1
CEN19LA281,8/21/2019,2019,GRAND RAPIDS, MN,47.209167,-93.51,NON-FATAL,SUBSTANTIAL,AIRPLANE,STINSON,108,0,1,0
ERA19LA253,8/21/2019,2019,KISSIMMEE, FL,28.289722,-81.436944,NON-FATAL,SUBSTANTIAL,AIRPLANE,VELOCITY,XL-5,0,2,0
WPR19LA233,8/21/2019,2019,LIVERMORE, CA,37.689444,-121.818889,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,120,0,1,0
WPR19FA230,8/21/2019,2019,OROVILLE, CA,39.497222,-121.616667,NON-FATAL,DESTROYED,AIRPLANE,CESSNA,560XL,0,0,10
ERA19LA255,8/21/2019,2019,TAMPA, FL,27.978889,-82.528334,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,310,0,0,1
GAA19CA517,8/20/2019,2019,ARLINGTON, WA,48.160833,-122.159167,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,180,0,1,0
ERA19LA252,8/20/2019,2019,EAST BRADY, PA,40.931111,-79.662222,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 31P,0,0,1
WPR19LA237,8/20/2019,2019,EUGENE, OR,44.123611,-123.202222,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,T210,0,0,1
WPR19LA238,8/20/2019,2019,HALF MOON BAY, CA,37.357778,-122.512222,NON-FATAL,DESTROYED,AIRPLANE,BEECH,36,0,0,2
CEN19FA278,8/20/2019,2019,HAYS, KS,38.726111,-99.341111,FATAL(1),DESTROYED,AIRPLANE,GRUMMAN,G164,1,0,0
CEN19FA279,8/20/2019,2019,HOWELL, MI,42.624723,-83.973334,FATAL(2),SUBSTANTIAL,AIRPLANE,AERO COMMANDER,200,2,0,0
GAA19CA509,8/20/2019,2019,CYPRESS ISLAND, WA,48.608333,-122.716111,NON-FATAL,SUBSTANTIAL,HELICOPTER,ROBINSON,R44,0,3,0
CEN19TA280,8/20/2019,2019,MONTROSE, CO,38,-107,NON-FATAL,SUBSTANTIAL,HELICOPTER,BELL,47G,0,1,0
GAA19CA499,8/19/2019,2019,OCRACOKE, NC,35.101111,-75.965833,NON-FATAL,SUBSTANTIAL,AIRPLANE,VANS,RV7,0,2,0
GAA19CA496,8/19/2019,2019,REGINA, NM,36.178611,-106.961389,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,TU206,0,0,3
WPR19LA227,8/19/2019,2019,SPOKANE, WA,47.619167,-117.535277,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28R,0,0,1
ERA19FA251,8/19/2019,2019,TAPPAHANNOCK, VA,37.86,-76.884722,NON-FATAL,SUBSTANTIAL,AIRPLANE,CIRRUS,SR22,0,1,0
CEN19FA276,8/19/2019,2019,VIROQA, WI,43.582778,-90.914444,FATAL(1),DESTROYED,HELICOPTER,SHIRLEY CARL,SPORTCOPTER VORTEX,1,0,0
GAA19CA501,8/18/2019,2019,FAIRBANKS, AK,64.28,-148.11,NON-FATAL,SUBSTANTIAL,AIRPLANE,CHAMPION,7GCBC,0,0,1
CEN19FA271,8/18/2019,2019,HOPEDALE, LA,29.816945,-89.276389,FATAL(1),DESTROYED,AIRPLANE,CESSNA,U206,1,2,0
ANC19LA046,8/18/2019,2019,KAPALUA, HI,20.969723,-156.669167,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,208B,0,0,10
ERA19FA250,8/18/2019,2019,NEW CASTLE, DE,39.690555,-75.638333,FATAL(2),SUBSTANTIAL,AIRPLANE,BEECH,95B55,2,0,0
GAA19CA498B,8/17/2019,2019,DAYTONA BEACH, FL,29.18,-81.058056,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,2
GAA19CA498A,8/17/2019,2019,DAYTONA BEACH, FL,29.18,-81.058056,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,2
ERA19FA249,8/17/2019,2019,LAGRANGEVILLE, NY,41.7,-73.729167,FATAL(2),DESTROYED,AIRPLANE,CESSNA,T303,2,4,0
WPR19LA223,8/17/2019,2019,RUIDOSO, NM,33.466667,-105.535,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,35,0,2,0
ERA19TA254,8/17/2019,2019,TALLADEGA, AL,33.496111,-86.221667,NON-FATAL,SUBSTANTIAL,AIRPLANE,GIGER FRANK R,NIEUPORT II,0,1,0
GAA19CA495,8/16/2019,2019,HOOPER, WA,46.672778,-118.136666,NON-FATAL,SUBSTANTIAL,AIRPLANE,FLIGHT DESIGN,CT2K,0,2,0
CEN19FA270,8/16/2019,2019,NEW ORLEANS, LA,30.025556,-90.03,FATAL(2),DESTROYED,AIRPLANE,PITTS,S2,2,0,0
GAA19CA502,8/16/2019,2019,ONIDA, SD,44.707778,-100.061667,NON-FATAL,SUBSTANTIAL,AIRPLANE,AIR TRACTOR,AT502,0,0,1
CEN19LA269,8/16/2019,2019,BLAIR, NE,41.415,-96.109167,NON-FATAL,SUBSTANTIAL,HELICOPTER,BELL,206,0,2,0
ERA19FA248,8/15/2019,2019,ELIZABETHTON, TN,36.367223,-82.181667,NON-FATAL,DESTROYED,AIRPLANE,TEXTRON AVIATION INC,680A,0,3,2
WPR19LA222,8/15/2019,2019,JAMUL, CA,32.702222,-116.867223,NON-FATAL,SUBSTANTIAL,AIRPLANE,ZENITH,601XLB,0,1,0
GAA19CA497,8/15/2019,2019,MCCARTHY, AK,61.188055,-142.616111,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 12,0,0,1
CEN19LA275,8/15/2019,2019,RIO GRANDE CITY, TX,26.380556,-98.816945,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,150,0,0,1
CEN19LA267,8/15/2019,2019,SAN MARCOS, TX,29.892777,-97.863056,NON-FATAL,SUBSTANTIAL,AIRPLANE,DE HAVILLAND,DHC6,0,3,0
ERA19LA247,8/14/2019,2019,BOONE, NC,36.273611,-81.577778,FATAL(1),DESTROYED,AIRPLANE,FANTASY AIR,ALLEGRO,1,0,0
WPR19FA219,8/14/2019,2019,MARYSVILLE, WA,48.139722,-122.1575,FATAL(1),SUBSTANTIAL,AIRPLANE,CAPES,MURPHY MOOSE,1,0,0
WPR19LA218,8/14/2019,2019,MESA, AZ,33.283334,-111.573611,NON-FATAL,SUBSTANTIAL,AIRPLANE,EXTRA,EA300,0,0,2
GAA19CA494,8/14/2019,2019,STOCKTON, CA,37.894444,-121.238611,NON-FATAL,SUBSTANTIAL,AIRPLANE,ROCKWELL,690,0,0,1
WPR19LA221,8/14/2019,2019,SHELTON, WA,47.232778,-123.150833,NON-FATAL,SUBSTANTIAL,GYROPLANE,AUTOGYRO,CAVALON,0,1,0
ERA19LA246,8/13/2019,2019,JAY, FL,30.969723,-87.206389,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,1,0
ANC19TA044,8/12/2019,2019,ANCHORAGE, AK,61.178889,-149.958333,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,180,0,1,0
GAA19CA512,8/12/2019,2019,CHICKASHA, OK,35.0975,-97.969167,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,0,0,1
ERA19FA243,8/11/2019,2019,JERSEY SHORE, PA,41.2075,-77.219167,FATAL(2),SUBSTANTIAL,AIRPLANE,POBEREZNY,ACRO SPORT II,2,0,0
WPR19FA216,8/11/2019,2019,KOOSKIA, ID,46.157778,-115.919723,FATAL(2),SUBSTANTIAL,AIRPLANE,LANCAIR,LANCAIR IV,2,0,0
CEN19LA263,8/11/2019,2019,NEW CARLISLE, OH,39.929723,-84.022778,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,3,0
